nombre,apellido,email,telefono,edad
María,González,maria.gonzalez@mediplus.cl,+56987654321,34
Carlos,Rodríguez,carlos.rodriguez@mediplus.cl,+56912345678,28
Ana,Silva,ana.silva@mediplus.cl,+56965432109,45
Miguel,Fernández,miguel.fernandez@mediplus.cl,+56998765432,52
Sofía,López,sofia.lopez@mediplus.cl,+56976543210,29
Diego,Martínez,diego.martinez@mediplus.cl,+56954321098,38
Valentina,Torres,valentina.torres@mediplus.cl,+56987654321,31
Sebastián,Morales,sebastian.morales@mediplus.cl,+56912345678,44
Camila,Rojas,camila.rojas@mediplus.cl,+56965432109,26
Matías,Herrera,matias.herrera@mediplus.cl,+56998765432,35
Isidora,Castro,isidora.castro@mediplus.cl,+56976543210,41
Benjamín,Vargas,benjamin.vargas@mediplus.cl,+56954321098,33
Antonella,Soto,antonella.soto@mediplus.cl,+56987654321,27
Nicolás,Pérez,nicolas.perez@mediplus.cl,+56912345678,49
Francisca,Muñoz,francisca.munoz@mediplus.cl,+56965432109,36
Joaquín,Sanchez,joaquin.sanchez@mediplus.cl,+56998765432,30
Constanza,Ramírez,constanza.ramirez@mediplus.cl,+56976543210,42
Tomás,Flores,tomas.flores@mediplus.cl,+56954321098,25
Maite,Espinoza,maite.espinoza@mediplus.cl,+56987654321,39
Ignacio,Carrasco,ignacio.carrasco@mediplus.cl,+56912345678,32
Javiera,Pinto,javiera.pinto@mediplus.cl,+56965432109,48
Maximiliano,Ibarra,maximiliano.ibarra@mediplus.cl,+56998765432,37
Catalina,Contreras,catalina.contreras@mediplus.cl,+56976543210,43
Vicente,Guerrero,vicente.guerrero@mediplus.cl,+56954321098,29
Emilia,Medina,emilia.medina@mediplus.cl,+56987654321,34
Agustín,Ortega,agustin.ortega@mediplus.cl,+56912345678,46
Florencia,Vega,florencia.vega@mediplus.cl,+56965432109,31
Cristóbal,Fuentes,cristobal.fuentes@mediplus.cl,+56998765432,40
Esperanza,Salinas,esperanza.salinas@mediplus.cl,+56976543210,28
Gabriel,Navarro,gabriel.navarro@mediplus.cl,+56954321098,35
Renata,Figueroa,renata.figueroa@mediplus.cl,+56987654321,33
Álvaro,Cortés,alvaro.cortes@mediplus.cl,+56912345678,47
Paloma,Molina,paloma.molina@mediplus.cl,+56965432109,24
Rodrigo,Vera,rodrigo.vera@mediplus.cl,+56998765432,38
Amanda,Sepúlveda,amanda.sepulveda@mediplus.cl,+56976543210,45
Esteban,Reyes,esteban.reyes@mediplus.cl,+56954321098,32
Martina,Garrido,martina.garrido@mediplus.cl,+56987654321,29
Felipe,Henríquez,felipe.henriquez@mediplus.cl,+56912345678,41
Amparo,Valdés,amparo.valdes@mediplus.cl,+56965432109,36
Gonzalo,Cáceres,gonzalo.caceres@mediplus.cl,+56998765432,44
Trinidad,Moya,trinidad.moya@mediplus.cl,+56976543210,27
Lucas,Palma,lucas.palma@mediplus.cl,+56954321098,39
Magdalena,Tapia,magdalena.tapia@mediplus.cl,+56987654321,33
Patricio,Galleguillos,patricio.galleguillos@mediplus.cl,+56912345678,50
Rosario,Maldonado,rosario.maldonado@mediplus.cl,+56965432109,26
Bruno,Bustos,bruno.bustos@mediplus.cl,+56998765432,42
Pilar,Araya,pilar.araya@mediplus.cl,+56976543210,35
Cristián,Bravo,cristian.bravo@mediplus.cl,+56954321098,48
Monserrat,Poblete,monserrat.poblete@mediplus.cl,+56987654321,31
Orlando,Ávila,orlando.avila@mediplus.cl,+56912345678,37
